Index,DigiKey Part #,Manufacturer Part Number,Manufacturer,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,RNF12FTD10R0CT-ND,RNF12FTD10R0,Stackpole Electronics Inc,RES 10 OHM 1% 1/2W AXIAL,,100,0,$0.05960,$5.96
2,56-MBB02070C1809FCT00CT-ND,MBB02070C1809FCT00,Vishay Beyschlag/Draloric/BC Components,RES 18 OHM 0.6W 1% AXIAL,,100,0,$0.06930,$6.93
3,BC3718CT-ND,MBB02070C2709FCT00,Vishay Beyschlag/Draloric/BC Components,RES 27 OHM 0.6W 1% AXIAL,,100,0,$0.06930,$6.93
4,13-MFR50SFTE52-36RCT-ND,MFR50SFTE52-36R,YAGEO,RES 36 OHM 1% 1/2W AXIAL,,100,0,$0.03270,$3.27
5,13-MF0207FTE52-39RCT-ND,MF0207FTE52-39R,YAGEO,RES 39 OHM 1% 0.6W AXIAL,,100,0,$0.03490,$3.49
6,13-MFR50SFTE52-68RCT-ND,MFR50SFTE52-68R,YAGEO,RES 68 OHM 1% 1/2W AXIAL,,100,0,$0.03270,$3.27
,,,,,,,,Subtotal,$29.85
